02/01/2020,NRO,Tunisia,RO-01330
07/01/2020,NRO,Pakistan,RO-01178
07/01/2020,CRO,Albania,RO-01311
13/01/2020,NRO,Tunisia,RO-01334
14/01/2020,NRO,Afghanistan,RO-01187
14/01/2020,CRO,Albania,RO-01312
14/01/2020,NRO,Pakistan,RO-01321
16/01/2020,CRO,Georgia,RO-01193
20/01/2020,NRO,Mauritania,RO-01307
21/01/2020,JRO,Guinea,RO-01299
21/01/2020,CRO,Albania,RO-01313
21/01/2020,NRO,Egypt,RO-01331
22/01/2020,JRO,Nigeria,RO-01204
22/01/2020,NRO,Tunisia,RO-01291
23/01/2020,JRO,Albania & Kosovo*,RO-01263
23/01/2020,NRO,Tunisia,RO-01348
27/01/2020,NRO,Mauritania,RO-01333
28/01/2020,NRO,North Macedonia & Serbia,RO-01264
28/01/2020,NRO,Russia,RO-01295
28/01/2020,CRO,Albania,RO-01317
30/01/2020,NRO,Ghana,RO-01237
30/01/2020,NRO,Tunisia,RO-01356
01/02/2020,NRO,Nigeria,RO-01341
04/02/2020,JRO,Pakistan,RO-01179
04/02/2020,CRO,Albania,RO-01335
05/02/2020,JRO,Afghanistan,RO-01219
05/02/2020,NRO,Tunisia,RO-01292
06/02/2020,JRO,Nigeria,RO-01231
06/02/2020,NRO,Tunisia,RO-01359
07/02/2020,NRO,Egypt,RO-01353
11/02/2020,CRO,Georgia,RO-01194
11/02/2020,CRO,Albania,RO-01336
12/02/2020,NRO,Afghanistan,RO-01188
13/02/2020,NRO,Armenia & Georgia,RO-01210
17/02/2020,NRO,Mauritania,RO-01350
17/02/2020,NRO,Tunisia,RO-01369
18/02/2020,CRO,Albania,RO-01337
18/02/2020,NRO,Moldova & Serbia,RO-01304
18/02/2020,NRO,Azerbaijan,RO-01294
19/02/2020,JRO,Nigeria & The Gambia,RO-01205
19/02/2020,NRO,Albania & Kosovo*,RO-01322
24/02/2020,NRO,Tunisia,RO-01370
25/02/2020,NRO,Albania & Georgia,RO-01354
25/02/2020,CRO,Albania,RO-01338
26/02/2020,JRO,Afghanistan,RO-01289
26/02/2020,JRO,Nigeria,RO-01233
27/02/2020,NRO,Albania,RO-01363
27/02/2020,NRO,Azerbaijan,RO-01298
02/03/2020,NRO,Mauritania,RO-01351
03/03/2020,CRO,Albania,RO-01342
03/03/2020,CRO,Montenegro,RO-01281
03/03/2020,JRO,Pakistan,RO-01180
04/03/2020,JRO,Afghanistan,RO-01220
05/03/2020,NRO,Ghana,RO-01365
05/03/2020,NRO,Albania & Moldova,RO-01305
05/03/2020,CRO,Georgia,RO-01195
10/03/2020,CRO,Albania,RO-01343
10/03/2020,JRO,Albania & Kosovo*,RO-01314
11/03/2020,NRO,Afghanistan,RO-01347
11/03/2020,NRO,Russia,RO-01212
18/03/2020,NRO,Serbia,RO-01357
24/03/2020,NRO,Serbia,RO-01315
07/05/2020,NRO,Georgia,RO-01211
26/05/2020,NRO,North Macedonia & Serbia,RO-01326
04/06/2020,NRO,Georgia,RO-01405
10/06/2020,JRO,Georgia,RO-01421
15/06/2020,NRO,Albania,RO-01425
15/06/2020,NRO,Serbia,RO-01306
16/06/2020,NRO,Albania,RO-01430
18/06/2020,NRO,Georgia,RO-01401
23/06/2020,NRO,Albania,RO-01328
30/06/2020,NRO,Albania,RO-01429
02/07/2020,JRO,Georgia,RO-01436
08/07/2020,JRO,Georgia,RO-01437
14/07/2020,JRO,Pakistan,RO-01186
15/07/2020,NRO,Moldova,RO-01434
16/07/2020,NRO,Georgia,RO-01420
16/07/2020,NRO,Albania,RO-01442
16/07/2020,NRO,Tunisia,RO-01456
16/07/2020,NRO,Kosovo*,RO-01463
20/07/2020,NRO,Albania & Moldova,RO-01409
22/07/2020,NRO,Tunisia,RO-01426
22/07/2020,NRO,Ukraine,RO-01446
22/07/2020,NRO,Georgia,RO-01464
22/07/2020,VRD,Albania,VRD-2020-001
23/07/2020,VRD,Albania,VRD-2020-002
23/07/2020,NRO,Tunisia,RO-01461
24/07/2020,NRO,Georgia,RO-01462
27/07/2020,NRO,Tunisia,RO-01467
28/07/2020,NRO,Albania & Kosovo*,RO-01428
30/07/2020,NRO,Albania,RO-01465
30/07/2020,NRO,Tunisia,RO-01472
30/07/2020,NRO,Moldova,RO-01435
03/08/2020,NRO,Tunisia,RO-01474
04/08/2020,JRO,Georgia,RO-01460
06/08/2020,NRO,Tunisia,RO-01475
06/08/2020,NRO,Georgia,RO-01481
07/08/2020,NRO,Albania,RO-01468
10/08/2020,NRO,Tunisia,RO-01480
11/08/2020,NRO,Moldova,RO-01457
11/08/2020,VRD,Georgia,VRD-2020-003
12/08/2020,NRO,Albania,RO-01469
12/08/2020,NRO,Albania,RO-01470
13/08/2020,NRO,Tunisia,RO-01484
17/08/2020,NRO,Tunisia,RO-01489
17/08/2020,NRO,Albania & Kosovo*,RO-01414
18/08/2020,JRO,Pakistan,RO-01283
19/08/2020,NRO,Georgia,RO-01471
19/08/2020,NRO,Moldova & Serbia,RO-01415
20/08/2020,NRO,Tunisia,RO-01490
20/08/2020,NRO,Turkey,RO-01482
20/08/2020,CRO,Georgia,RO-01438
24/08/2020,NRO,Tunisia,RO-01495
25/08/2020,NRO,North Macedonia & Serbia,RO-01439
26/08/2020,NRO,Albania,RO-01485
26/08/2020,JRO,Ukraine,RO-01466
27/08/2020,NRO,Tunisia,RO-01494
27/08/2020,NRO,North Macedonia,RO-01443
31/08/2020,NRO,Tunisia,RO-01515
01/09/2020,NRO,Georgia,RO-01491
02/09/2020,NRO,Albania,RO-01486
02/09/2020,NRO,Serbia,RO-01478
02/09/2020,NRO,Tunisia,RO-01444
02/09/2020,VRD,Iraq,VRD-2020-004
03/09/2020,NRO,Tunisia,RO-01518
07/09/2020,NRO,Tunisia,RO-01517
07/09/2020,NRO,Pakistan,RO-01284
10/09/2020,NRO,Tunisia,RO-01519
10/09/2020,NRO,Albania,RO-01487
10/09/2020,CRO,Georgia,RO-01441
14/09/2020,NRO,Tunisia,RO-01520
15/09/2020,CRO,Albania,RO-01492
17/09/2020,NRO,Tunisia,RO-01522
17/09/2020,JRO,Armenia & Georgia,RO-01448
21/09/2020,NRO,Tunisia,RO-01546
23/09/2020,VRD,Georgia,VRD-2020-005
24/09/2020,NRO,Tunisia,RO-01551
24/09/2020,JRO,Georgia,RO-01549
