RO-ID,Date of Departure type of operation,,MSSAC,Destination(s),Number of TCNs,
RO-01604,06/01/2021 CRO,,France,Albania,,20
RO-01604 Total,,,,,,20
RO-01605,13/01/2021 NRO,,Germany,Tunisia,,12
RO-01605 Total,,,,,,12
RO-01606,15/01/2021 JRO,,Austria,Kosovo*,,1
"",,,Austria,Albania,,2
"",,,Germany,Kosovo*,,8
"",,,Germany,Albania,,45
RO-01606 Total,,,,,,56
RO-01607,12/01/2021 CRO,,France,Albania,,17
RO-01607 Total,,,,,,17
RO-01609,12/01/2021 NRO,,Germany,Afghanistan,,26
RO-01609 Total,,,,,,26
RO-01610,21/01/2021 JRO,,France,Albania,,3
"",,,France,Moldova,,2
"",,,Germany,Albania,,25
"",,,Germany,Moldova,,49
RO-01610 Total,,,,,,79
RO-01611,21/01/2021 NRO,,Germany,North Macedonia,,36
"",,,Germany,Serbia,,25
RO-01611 Total,,,,,,61
RO-01612,19/01/2021 NRO,,Germany,Guinea,,25
RO-01612 Total,,,,,,25
RO-01614,19/01/2021 NRO,,Germany,Georgia,,41
RO-01614 Total,,,,,,41
RO-01615,19/01/2021 CRO,,France,Albania,,15
RO-01615 Total,,,,,,15
RO-01616,19/01/2021 JRO,,Austria,Nigeria,,13
"",,,Germany,Nigeria,,24
"",,,Hungary,Nigeria,,1
RO-01616 Total,,,,,,38
RO-01618,26/01/2021 NRO,,Germany,Ghana,,16
RO-01618 Total,,,,,,16
RO-01619,26/01/2021 CRO,,France,Albania,,9
RO-01619 Total,,,,,,9
RO-01625,27/01/2021 JRO,,Germany,Ethiopia,,3
"",,,Switzerland,Ethiopia,,4
RO-01625 Total,,,,,,7
RO-01626,28/01/2021 JRO,,Austria,Armenia,,6
"",,,Austria,Georgia,,8
"",,,Germany,Georgia,,9
"",,,Switzerland,Georgia,,1
RO-01626 Total,,,,,,24
RO-01627,18/01/2021 JRO,,Germany,Pakistan,,23
"",,,Romania,Pakistan,,1
RO-01627 Total,,,,,,24
RO-01628,26/01/2021 NRO,,Greece,Pakistan,,25
RO-01628 Total,,,,,,25
RO-01632,07/01/2021 NRO,,Luxembourg,Kosovo*,,5
"",,,Luxembourg,Albania,,7
RO-01632 Total,,,,,,12
RO-01635,29/01/2021 NRO,,Germany,Ukraine,,42
RO-01635 Total,,,,,,42
RO-01636,02/02/2021 CRO,,France,Albania,,18
RO-01636 Total,,,,,,18
